ENTITY	CUI
Argipressin	C0003779
Endocannabinoids	C1172779
Caffeine	C0006644
adenosine receptor antagonist	C0815050
Fluorescein-5-isothiocyanate	C0085216
Propidium Iodide	C0033470
anandamide	C0211726
oleoylethanolamide	C1454896
Enzymes, hematological	C3540017
Glycine	C0017890
Acetylcholine	C0001041
Drugs, Non-Prescription	C0013231
Atypical antipsychotic	C1276996
aripiprazole	C0299792
Valproic Acid	C0042291
Pharmacologic Substance	C1254351
Riluzole	C0073379
Serine	C0036720
SAS	C0605290
Toremifene	C0076836
Lithium Chloride	C0065088
Interferons	C0021747
IL1RN protein, human	C1504688
Interleukin-12	C0123759
temsirolimus	C1707080
CCI 779	C0796512
Recombinant Interferon-alpha Inducible Protein 10	C1522712
factor A	C0960756
Adenosine	C0001443
Botulinum Toxins	C0006055
Lithium	C0023870
Antineoplastic Agents	C0003392
di-tert-butylperoxy-3,3,5-trimethylcyclohexane peroxide	C0082248
Anti-Anxiety Agents	C0040616
polyphenols	C0071649
epigallocatechin gallate	C0059438
BDA-410	C3492623
Licorice	C0086555
Glycyrrhiza Extract	C0873144
licochalcone A	C0125821
Glycyrrhizin, Ammoniated	C2697513
Glutathione Disulfide	C0061516
17-(dimethylaminoethylamino)-17-demethoxygeldanamycin	C1527262
Sodium Chloride	C0037494
Inositol 1,4,5-Trisphosphate	C0021549
Sodium Butyrate	C0142812
Glutamic Acid	C0061472
Sulfhydryl Compounds	C0038734
Phosphorylcholine	C0031716
Glycerylphosphorylcholine	C0017889
agonists	C0243192
defibrotide	C0057257
Docusate	C1692318
CALCIUM HOMEOSTASIS	C3653518
Iron	C0302583
DaTscan	C2980484
opium alkaloids and derivative combination cough suppressants	C3539957
Vinca Alkaloids	C0042672
Vincristine	C0042679
Touchdown	C0912256
Chantix	C1712042
ethyl cysteine	C0059760
Insulin	C0021641
3-nitropropionic acid	C0047640
SKA-31	C2713937
P-2	C0608663
Hydrogen Peroxide	C0020281
Paraquat	C0030493
Dithiothreitol	C0012789
Histone Deacetylase Inhibitor [EPC]	C3537120
deoxyhemoglobin	C0057437
123I-IBZM	C0090273
3-iodo-2-hydroxy-6-methoxy-N-((1-ethyl-2-pyrrolidinyl)methyl)benzamide	C0047499
prostaglandin M	C0049896
Air	C3536832
sural	C0626053
Bisbenzimidazole	C0019832
Hoechst 33258	C0878435
Avid	C2986972
Methionine	C0025646
Ethylnitrosourea	C0015111
Superoxide Dismutase	C0038838
Dantrolene	C0010976
Janus kinase inhibitor	C3854325
tyrphostin 47	C0384553
Vitamin K 3	C0025270
N-methylpiperidin-4-yl propionate	C0389052
Cholinergic Agents	C0242893
Apomorphine	C0003596
Miotics	C0026207
Glucose	C0017725
Adapt (substance)	C2937289
Sodium Dodecyl Sulfate	C0037506
Raclopride	C0072953
Betaine	C0005304
Cysteine Proteinase Inhibitors	C0010658
Butane	C0006474
Ethylene Oxide	C0015087
lamotrigine	C0064636
Lipofuscin	C0023789
Muramidase	C0026794
Staurosporine	C0075193
Bupivacaine	C0006400
Morphine	C0026549
Fentanyl	C0015846
Today	C0310367
Caspase Inhibitors	C1516312
Tandospirone Citrate	C2699890
Serotonin 5-HT1A Receptor Agonists	C2936511
Lutein	C0043328
Diazepam	C0012010
Bethanechol	C0053526
Lactate	C0376261
Glycogen	C0017911
polyacrylamide gels	C0071500
Corrective	C0719519
taltirelin hydrate	C0961704
Polyethylene Glycols	C0032483
Mexiletine Hydrochloride	C0543459
Mexiletine	C0025887
Fluoxetine	C0016365
Serotonin Uptake Inhibitors	C0162758
Gelatin	C0017237
Dimethyl Sulfoxide	C0012403
Glycerin	C0017861
trimethyloxamine	C0077194
Hydroxytryptamine	C0162466
Ethane	C0014969
potassium oxonate	C0393003
TONICS	C3543842
Iodine	C0021968
Trimethoprim	C0041041
Sulfamethoxazole	C0038689
Interleukin 1 Receptor Antagonist Protein	C1704264
century	C0719214
Melatonin	C0025219
Hypnotics	C0020591
Digoxigenin	C0012264
3-Iodobenzylguanidine	C0047506
Norepinephrine	C0028351
Ethidium Bromide	C0019873
PC 12 ester	C0662453
Fleroxacin	C0085161
iomazenil	C0073480
Ro 16-0154	C0140756
IOBENGUANE SULFATE I-123	C2346581
fluorodopa F 18	C0244672
Tyrosine	C0041485
Microbicides	C1136254
Biopterin	C0005562
Homovanillic Acid	C0019903
Immune Sera	C0020960
4-nitrophenyl O-beta-galactopyranosyl-(1-4)-O-(2-acetamido-2-deoxy-beta-glucopyranosyl)-(1-3)-beta-galactopyranoside	C0643309
homopolymer	C1537022
Pyruvate	C0244104
Dichloroacetate	C0012066
Temazepam	C0039468
Bactrim	C0591139
Biogenic Amines	C0005496
Folate	C0178638
Zmax	C1614132
Urea	C0041942
Guanidine	C0120446
Bezafibrate	C0005330
Clofibrate	C0009002
NADH	C0027289
Galactose	C0016945
Mitomycin	C0002475
mTOR Inhibitor	C2746052
Diethylnitrosamine	C0012200
Valine	C0042285
idebenone	C0123163
Quinones	C0034435
Megestrol	C0025175
Electrolytes	C0013832
Ammonia	C0002607
Sugars	C0242209
Steroids	C0038317
Immunoglobulins, Intravenous	C0085297
Ubiquinone	C0041536
Blood lactate	C3824990
N-(3-N-(benzyloxycarbonyl)amino-1-carboxypropyl)leucyl-O-methyltyrosine N-methylamide	C0067503
CI 4	C0387382
Interferon Type I	C0021743
EPI-743	C3491843
Cysteamine Bitartrate	C0282119
Polysaccharides	C0032594
Glycome	C2348869
Citrulline	C0008864
acylcarnitine	C0368608
Nicotinate	C0086709
Niacin	C0027996
Nicotinamide adenine dinucleotide (NAD)	C0027270
Doxycycline	C0013090
N-tris(hydroxymethyl)methyl-2-aminomethane sulfonate	C0076172
Acetylcysteine	C0001047
Arginine	C0003765
Fatty Acids	C0015684
Cysteamine	C0010648
NM-3	C1328200
A(2)C	C0050322
Rubella virus vaccine	C0035923
Measles-Mumps-Rubella Vaccine	C0065828
Vaccines	C0042210
4,8,12,16-tetramethylheptanoic acid	C0643212
Thiamine	C0039840
isovaleric acid	C0064094
S-2	C2722359
Riboflavin	C0035527
Adenosine Triphosphate	C0001480
Thioctic Acid	C0023791
Rotenone	C0035871
Digitonin	C0012256
malate	C0220873
alpha Ketoglutarate	C1291208
Ketones	C0022634
Lactates	C0022924
Keto Acids	C0022618
technetium Tc 99m bicisate	C0378335
Biotin	C0005575
Leucine	C0023401
Levocarnitine	C0087163
3-Hydroxybutyrate	C0106006
Vitamin supplementation	C0302837
6-Aminonicotinamide	C0000610
Dinitrobenzenes	C0012459
alpha-Chlorohydrin	C0002253
Succinates	C0038617
Ascorbate	C0178487
Tetramethylphenylenediamine	C0039690
dodecyl maltoside	C0058629
Guanidine Hydrochloride	C0120447
Methotrexate	C0025677
Anesthetics	C0002932
Flunarizine	C0016295
Sibelium	C0037044
Lactic acid	C0064582
Paraffin	C0030415
Chloral Hydrate	C0008161
Kainic Acid	C0022471
Sodium Bicarbonate	C0074722
Narcotic Antagonists	C0027410
Naltrexone	C0027360
Ouabain	C0029904
Carnitine	C0007258
Vitamins	C0042890
Fibrin	C0015982
Hydroxybutyrates	C0020332
Acetoacetates	C0000988
Succinic Acid	C0075429
Nonesterified Fatty Acids	C0015688
Glucagon	C0017687
Ketoses	C0022637
Ketone Bodies	C0022631
MR vaccine	C0694746
Baclofen	C0004609
Innovar	C0063549
Scopolamine	C0036442
Promethazine	C0033405
Adrenal Cortex Hormones	C0001617
Propranolol	C0033497
Thiamine Triphosphate	C0039853
Pyruvic Acid	C0072802
Lipopolysaccharides	C0023810
Isoflurane	C0022180
Acarbose	C0050393
Fatty Acids, Volatile	C0015691
tributyrin	C0077025
Butyricum acidum, butyric acid, Homeopathic preparation	C1161319
Sulfur	C0038774
Tricyclic Antidepressant [EPC]	C3536819
C-500	C0719054
Therapeutic agent (substance)	C1611640
Multivitamin preparation	C0301532
Reduced Glutathione	C0034917
nicotinamide-beta-riboside	C0068711
Cisplatin	C0008838
Butyrates	C0006521
3-Methylglutaconate	C0443545
Propofol	C0033487
glucuronolactone	C0061446
everolimus	C0541315
Buthionine Sulfoximine	C0054252
stage-specific embryonic antigen-4	C0286848
Antiepileptic Agents	C0003299
perampanel	C2698764
Phospholipids	C0031676
Phosphatidyl glycerol	C0031614
acyl group	C0596038
propionyl-coenzyme A	C0072194
olanzapine	C0171023
phenothiazine	C0031434
profenamine	C0015042
Plasmalogens	C0032133
Conjugated bile acids	C0443599
Tricarboxylic Acids	C0040887
Ionophores	C0022022
Hydrazones	C0020235
Berberine hydrochloride	C0873019
Retinal Pigments	C0035323
Free thiamine	C1952790
Thiamine Pyrophosphate	C0039848
alpha-glycerophosphoric acid	C0051369
Oxaloacetates	C0029989
2',7'-dichlorodihydrofluorescein diacetate	C0670829
lipoate	C0178731
ubiquinone 9	C0077664
Immunosuppressive Agents	C0021081
Protective Agents	C0033613
hispidin	C0062735
Long chain fatty acid	C0522095
Copper	C0009968
Carbimazole	C0006983
Thyroid preparations	C0279175
PH.3	C0601906
Follicle Stimulating Hormone	C0733758
Isoleucine	C0022192
malic acid	C0065583
Palmitic Acid	C0030234
Stearic acid	C0038229
Vigabatrin	C0048044
Aminobutyrate	C0178474
1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine	C0000097
Experimental drug	C0304229
Heme	C0018966
2,2-dichloro-1,1-difluoroethyl difluoromethyl ether	C0613621
decanoic acid	C0057239
Medium chain triglycerides	C0724624
Fumarates	C0016801
Histidine	C0019602
Formalin	C0949307
3-methylglutaconic acid	C0047594
3-Hydroxyanthranilic Acid	C0000407
Methacrylate	C2828373
Palmitates	C0030233
Coenzymes	C0009235
Methylene blue	C0025746
Dinitrophenols	C0012466
Propionates	C0033474
limited use	C3241999
hydrochloride	C1512523
Madopar	C0065502
Alar	C0702172
Diazooxonorleucine	C0012020
remifentanil	C0246631
Analgesics	C0002771
Thioflavin T	C0076466
Red dye	C1509471
Ascorbic Acid	C0003968
Rifamycins	C0035609
Long chain triglyceride	C3873606
C Complex	C0719053
Methylprednisolone	C0025815
Sodium Pyruvate	C1576824
rituximab	C0393022
G 137	C0118424
Methylmalonate	C0178743
Methylcitrate	C0443577
propionylcarnitine	C0072196
Triiodothyronine	C0041014
Investigational New Drugs	C0013230
pridopidine	C1741584
Vasopressins	C0042413
antidiuretic	C0596110
Glycosphingolipids	C0017978
cryptophycin 52	C0756544
S-Adenosylmethionine	C0036002
Oligomycins	C0028951
hexamethylpropyleneamine oxime	C0121638
Hot Spot	C2947985
kinase inhibitor	C3537035
mitochondrial uncoupling protein 2	C0536847
Organic acids, Gynecological	C3541407
3-methylglutaric acid	C0047595
Crest	C2948667
Methylmalonic Acid	C0025787
Carnitine ester	C0552363
Aminoglycosides	C0002556
Immunoglobulins	C0021027
Azathioprine	C0004482
humanin	C0966511
Cardiolipins	C0007188
Rhodamine 123	C0073192
Magnesium Cation	C2346927
SENSORY ORGAN DRUGS	C3654000
Celloidin	C0007631
Capsaicin	C0006931
Benzothiazepine	C1320166
Bicarbonates	C0005367
cobaltous cation	C2347816
pentamethylmelamine	C0070302
Creatine Monohydrate	C0873188
2,3-dimethoxy-5-methyl-6-decyl-1,4-benzoquinone	C0245763
Thapsigargin	C0076374
Sucrose	C0038636
4-hydroxy-2-nonenal	C0048297
Carbonates	C0007026
Dicyclohexylcarbodiimide	C0012124
Sodium Dichloroacetate	C0037501
Formaldehyde	C0016564
Muscle relaxants	C0358430
Ketamine	C0022614
Midazolam	C0026056
Normal saline	C0445115
Succinylcholine	C0038627
vasoactive agent	C0597639
Lucigenin	C0126266
erucylphosphocholine	C0169014
Virulence Factors	C1136170
Diamox	C0591362
Trypsin Inhibitors	C0041242
Tetrasaccharide	C0556151
Bupropion	C0085208
Pramipexole	C0074710
Antipsychotic Agents	C0040615
Ornithine, (L)-Isomer	C0887117
Methylamines	C0025719
N-Methylaspartate	C0079883
Aspirin	C0004057
Oxytocin	C0030095
Memantine	C0025242
Cannabidiol	C0006863
Carbidopa	C0006982
Leucovorin	C0023413
Triazines	C0040877
Piperazine derivative	C0304303
Amines	C0002508
Central Nervous System Agents	C0007680
Histamine	C0019588
Histamine H1 Antagonists	C0019592
Biological Response Modifiers	C0005525
MK-801	C0813872
NMDA receptor antagonist	C0598695
Nitric Oxide	C0028128
Antidepressive Agents	C0003289
tianeptine	C0076652
Botulinum Toxin Type A	C0006050
Gold	C0018026
Phenylacetates	C0031452
monoamine	C0599682
Glycopyrrolate	C0017970
Sorbitol	C0037688
Labetalol hydrochloride	C0699440
Diethylhexyl Phthalate	C0012197
hypromellose	C0063242
Cyclodextrins	C0010558
reineckate	C0140175
phthalates	C0136960
Polyvinyl Chloride	C0032624
Neuromuscular Blocking Agents	C0027866
Adrenergic beta-Antagonists	C0001645
1,2-dilinolenoyl-3-(4-aminobutyryl)propane-1,2,3-triol	C0634829
CI 22	C0962010
TCS OX2 29	C3492123
Carbachol	C0006945
Muscarinic Agonists	C0242947
Nicotine	C0028040
ispronicline	C1506511
metanicotine	C0066051
Dihydro-beta-Erythroidine	C0012273
Mecamylamine	C0025029
Cholinergic Nicotinic Agonist [EPC]	C3536930
Antiparkinson Agents	C0003405
amsonic acid	C0051767
Rotigotine	C1700683
ropinirole	C0244821
Adrenergic Antagonists	C0242889
Pindolol	C0031937
Metoprolol	C0025859
Alprenolol	C0002334
Suramin	C0038880
U 73122	C1620102
carbon fiber	C0108411
mirabegron	C2983812
capadenoson	C2828243
Paclitaxel	C0144576
pregabalin	C0657912
Quinpirole	C0072892
Doxorubicin	C0013089
donepezil	C0527316
Synthetic drug	C0259849
Typical Antipsychotic [EPC]	C2917392
GABA Agonists	C0242974
Muscimol	C0026818
Antihypertensive Agents	C0003364
Angiotensin-Converting Enzyme Inhibitors	C0003015
Angiotensin II receptor antagonist	C0521942
Calcium Channel Blockers	C0006684
Thiazide Diuretics	C0012802
Asparagus racemosus extract	C3496584
alpha-Amino-3-hydroxy-5-methyl-4-isoxazolepropionic Acid	C0051318
2,3-dioxo-6-nitro-7-sulfamoylbenzo(f)quinoxaline	C0045376
Histamine Antagonists	C0019590
Chlorpyrifos	C0013328
triazophos	C0077012
profenofos	C0072070
Carbofuran	C0006995
tiotropium bromide	C1306772
Didanosine	C0012133
Histamine Agents	C0242704
formoterol fumarate	C0771469
Ambroxol hydrochloride	C1367795
TAC	C2962221
gamma-Aminobutyric Acid A Receptor Agonist [EPC]	C3249259
sevoflurane	C0074414
General anesthetic drugs	C0017302
Benzodiazepines	C0005064
Tricyclic Antidepressive Agents	C0003290
Epoprostenol	C0033567
Isoproterenol	C0022245
1,3-dipropyl-8-cyclopentylxanthine	C0088321
SCH 58261	C0387956
Pyrimidine	C0034284
Blood Glucose	C0005802
Hydantoin	C0020208
Polyamines	C0032433
philanthotoxin 343	C0167050
channel blockers	C0870261
carbene	C0054666
phTX 12	C0912682
CGS 21680	C0055233
H 89	C0082782
KN 93	C0124673
Antihistamines	C0003360
Glucocorticoids, Systemic	C3540777
Dexamethasone	C0011777
Anti-Histamine	C1961851
azelastine	C0052762
Sepranolone	C0376202
Androstanes	C0002854
Glycol	C0017945
20-alpha-Dihydroprogesterone	C0012311
Dihydrotestosterone	C0038148
dehydroepiandrosterone	C0011185
Solifenacin	C1099677
VESICARE	C1601338
Steroid hormone	C0301818
Neurosteroids	C0815278
Isoquinolines	C0022248
Muscarinic Antagonists	C0003385
Thyrotropin-Releasing Hormone	C0040162
linopirdine	C0286263
Anesthetics, Dissociative	C0002933
dalfampridine	C0000477
gabazine	C0628385
IEM 1460	C0671540
Sertraline	C0074393
cabergoline	C0107994
beta2-Adrenergic Agonist [EPC]	C2917450
Cocaine	C0009170
Cannabinoids	C0006864
Psychoactive substance	C0682880
indole	C0021236
Indazoles	C0021187
piperidine	C0031959
Amides	C0002482
azastene	C0052758
Triazoles	C0040880
Naphthalene	C0027375
carboxylate	C0178528
Organophosphorus Compounds	C0029254
methylphosphonothioic acid S-(2-(bis(1-methylethyl)amino)ethyl) O-ethyl ester	C0078433
Atropine	C0004259
Pain-Free	C0908489
1-(4-methylphenyl)propane-2-amine	C3884111
Illicit Drugs	C0086190
Amphetamine	C0002658
alkyl	C0596066
Reuptake Inhibitors	C1579360
5-(3-hydroxybenzoyl)-2-thiophenesulfonamide	C0048996
neohesperidin	C2742194
NBOMe	C3699367
Tetrahydrocannabinol	C0039663
Marihuana	C0024808
Tryptamines	C0041248
Hallucinogens	C0018533
Psilocybine	C0033850
Cannabis Preparation	C0939898
naringin	C0068451
meranzin	C1698171
Dexmedetomidine	C0113293
SIRIUS RED	C0491962
Escitalopram	C1099456
Mineralocorticoid Receptor Antagonists	C1579268
Cholinesterase Inhibitors	C0008425
yohimbine	C0724441
Hydrocortisone	C0020268
Alkylating Agents	C0002073
temozolomide	C0076080
Prolactin	C0033371
nisoxetine	C0068785
Diphenyl	C2979948
Cannabinoid Receptor Agonists	C2927148
Imipramine	C0020934
Streptozocin	C0038432
Cromolyn Sodium	C0012694
Niosomes	C1720782
Phenylalanine	C0031453
Pyrans	C0034234
Fluorides	C0016327
Dopamine Antagonists	C0242702
Sch 39166	C0074160
Ethylmaleimide	C0015101
Nifedipine	C0028066
Nadolol	C0027302
Vasodilator Agents	C0042402
Angiotensin II	C0003009
GABA-B Receptor Agonists	C2936800
bicuculline methiodide	C0053558
Diquafosol	C1955479
Zidovudine	C0043474
pioglitazone	C0071097
Chelating Agents	C0007974
1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid	C0043775
Phenylephrine	C0031469
PKA inhibitor	C0243459
Adrenergic alpha-Antagonists	C0001641
Triprolidine	C0041098
agonists and antagonists	C0682770
Anticholinergic Agents	C0242896
Anti-Allergic Agents	C0282555
Leukotrienes	C0023545
duloxetine	C0245561
Methyl Methanesulfonate	C0025706
Paroxetine	C0070122
Norepinephrine re-uptake inhibitor	C1319313
venlafaxine	C0078569
Gastric Agents	C0282187
Proton Pump Inhibitors	C0358591
Histamine H2 Antagonists	C0019593
porphine	C0541095
manganese chloride	C0065642
quantum	C0309989
Prednisone	C0032952
Ranitidine	C0034665
Clemastine	C0008929
Metoclopramide	C0025853
Diphenhydramine	C0012522
B-Stress	C0718778
AM841	C1674021
Ticagrelor	C1999375
clopidogrel	C0070166
prasugrel	C1620287
4-iodo-2,5-dimethoxyphenylisopropylamine	C0048408
Serotonin 5-HT2A Receptor Agonists	C2936515
8-Hydroxy-2-(di-n-propylamino)tetralin	C0050079
MDL 11939	C0127275
liquiritigenin	C0220014
flavanone	C0060425
5,6-dihydro-5-azacytidine	C0048906
fostriecin	C0118175
Progesterone	C0033308
Ro 25-6981	C0669120
Citalopram hydrobromide	C0724555
Gentle	C0720654
Tacrine	C0039245
Selegiline	C0036579
Methamphetamine	C0025611
MA 4	C0606723
Psychiatric drugs	C1979799
Amitriptyline	C0002600
cyclobenzaprine	C0056732
Benztropine	C0005098
topiramate	C0076829
Trazodone	C0040805
amine derivatives	C0682957
Organic phosphorus insecticide, NOS	C0301172
Diazinon	C0012013
diazoxon	C0057757
Phenethylamine	C0070559
arabitol	C0052287
L-lactate	C1881354
AM 251	C0534009
GABA-A Receptor Antagonists	C2936801
Sugammadex	C1700695
Neostigmine	C0027679
Carbamates	C0006948
Corticosterone	C0010124
Corticotropin	C0001655
Hydroxyindoleacetic Acid	C0020361
pamidronate	C0043603
Norepinephrine Reuptake Inhibitor [EPC]	C3537046
Zonal	C1564799
Hesperidin	C0019392
platycodin D	C0667570
Glycyrrhizic Acid	C0061751
Expectorants	C0015314
Psychotropic Drugs	C0033978
THC 5	C0763176
Pyrroles	C0034325
Urethane	C0041964
D-cycloserine	C0815039
Isoxazoles	C0022266
Chlorpromazine	C0008286
5-Hydroxytryptophan	C0000578
Dopamine-2 Receptor Antagonist [EPC]	C2917388
Curcumin	C0010467
Coumarins	C0010207
Thiocarbamide derivatives for treatment of tuberculosis	C3653352
Phenylthiourea	C0031505
Methylenedioxypyrovalerone	C3532997
cathinone	C0054876
Psychostimulant	C0304403
pyrovalerone	C0072777
pyrrolidine	C0072780
Antinematodal Agents	C0003391
Acaricides	C0303928
Saccharum officinale, sucrose, cane sugar, Homeopathic preparation	C1161331
neurotransmitter agonist	C0597060
Analgesics, Opioid	C0002772
Narcotic Drugs	C0237425
Alkaloids	C0002062
Almorexant	C1871407
Central Nervous System Stimulants	C0002763
Tobacco	C0040329
Clonidine	C0009014
Adrenergic Agonists	C0001648
rosmarinic acid	C0073590
Aminopyridine	C0002584
GABA-A Receptor Agonists	C2936799
Prazosin	C0032912
Epinephrine	C0014563
Dobutamine	C0012963
Dextran Sulfate Sodium	C0079225
montelukast	C0298130
etifoxine	C0059678
Clodronate	C0162357
Scorpio europaeus homeopathic preparations	C0885762
lurasidone	C2003424
Serotonin Antagonists	C0036753
Agomelatine	C0971637
Mirtazapine	C0049506
Human Interleukin-10 (Nonglycosylated)	C2983956
PNU-282987	C1567285
Nicotinic Agonists	C0242948
Synthetic cannabinoid receptor agonist	C1720260
Ketanserin	C0022616
Serotonin 5-HT2 Receptor Antagonists	C2936522
Budesonide / formoterol	C1276807
Budesonide	C0054201
formoterol	C0060657
homarine	C0062921
tocilizumab	C1609165
Diuretics	C0012798
Chitosan	C0162969
Carteolol	C0007299
palmidrol	C0069964
Pisum sativum (pea) extract	C3257529
Topical form corticosteroids	C0304604
Rocuronium	C0209337
2-Chloroadenosine	C0000275
Krebs-Ringer solution	C0064411
Multiple b	C1651007
ractopamine	C0072954
Zilpaterol	C1259819
Adrenergic beta-Agonists	C0001644
fumarate	C0220833
Isoproterenol Hydrochloride	C0282210
Dobutamine Hydrochloride	C0700450
Bromdimethoxyamphetamine	C0301362
Albuterol	C0001927
RACTOPAMINE HYDROCHLORIDE	C0958044
BRL 37344	C0054075
Theophylline	C0039771
chloropyramine	C0055445
Aconitine	C0001159
ent-7beta,14-dihydroxy-11alpha-methoxy-18-aldehyde-11beta-20-epoxy-kaur-16-en-15-one	C1612020
Phytochemicals	C0577749
Methotrimeprazine	C0025678
zotepine	C0078849
quetiapine	C0123091
Clozapine	C0009079
Perphenazine	C0031184
Fluphenazine	C0016368
Prochlorperazine	C0033229
Haloperidol	C0018546
bromperidol	C0054138
timiperone	C0076688
Spiperone	C0037956
Butyrophenones	C0006525
Pimozide	C0031935
Diphenylbutylpiperidine	C1260877
perospirone	C0084572
blonanserin	C0287983
Asenapine	C2000088
pipamperone	C0071098
Sulpiride	C0038803
sultopride	C0075630
Tiapride	C0040180
nemonapride	C0217937
Benzamide derivative antipsychotic agent	C1997166
Risperidone	C0073393
paliperidone	C0753678
brexpiprazole	C3886627
carvedilol	C0054836
Non-selective beta-blocking agent	C0304515
gabapentin	C0060926
Lidocaine	C0023660
Tramadol	C0040610
Opioids	C0242402
moxifloxacin	C0536495
Anticonvulsants	C0003286
Sumanirole	C1312149
flupentixol, melitracen drug combination	C2936679
tamsulosin	C0257343
Sedatives	C0036557
Suvorexant	C3179535
lormetazepam	C0065185
Pyridostigmine	C0034261
prednisolone	C0032950
eticlopride	C0059853
Alcuronium	C0001981
Gallamine	C0016971
Pancuronium	C0030310
rapacuronium	C0876716
mabuterol	C0065464
adjuvant P40	C0050854
P-23	C0795725
Phenolics	C0359916
3-hydroxyflavone	C0284815
ethyl acetate	C0059747
Flavonoids	C0596577
Apigenin	C0912024
CL 316243	C0171208
dezocine	C0057626
Pentazocine	C0030873
tapentadol	C2001271
Oxidopamine	C0085196
substance S	C0075414
proctolin	C0072059
Anti glaucoma preparation	C1270965
3-bromoacetoxyandrostan-17-one	C0645690
fluticasone / salmeterol	C0939232
butyrylcholine	C0054321
Carotenoids	C0007271
